,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
27,frozenset({'DoItYBks'}),frozenset({'CookBks'}),0.282,0.431,0.1875,0.6648936170212767,1.5426766056178114,0.06595800000000002,1.6979682539682543
28,frozenset({'RefBks'}),frozenset({'CookBks'}),0.2145,0.431,0.1525,0.710955710955711,1.649549213354318,0.06005049999999999,1.9685564516129033
29,frozenset({'CookBks'}),frozenset({'RefBks'}),0.431,0.2145,0.1525,0.3538283062645012,1.649549213354318,0.06005049999999999,1.21562118491921
30,frozenset({'CookBks'}),frozenset({'ArtBks'}),0.431,0.241,0.167,0.3874709976798144,1.6077634758498525,0.06312900000000002,1.239125
31,frozenset({'ArtBks'}),frozenset({'CookBks'}),0.241,0.431,0.167,0.6929460580912864,1.6077634758498525,0.06312900000000002,1.853094594594595
32,frozenset({'CookBks'}),frozenset({'GeogBks'}),0.431,0.276,0.1925,0.4466357308584687,1.6182454016611183,0.073544,1.3083605870020965
33,frozenset({'GeogBks'}),frozenset({'CookBks'}),0.276,0.431,0.1925,0.697463768115942,1.6182454016611183,0.073544,1.880766467065868
34,frozenset({'CookBks'}),frozenset({'ItalCook'}),0.431,0.1135,0.1135,0.26334106728538287,2.3201856148491884,0.0645815,1.2034062992125985
35,frozenset({'ItalCook'}),frozenset({'CookBks'}),0.1135,0.431,0.1135,1.0,2.320185614849188,0.0645815,inf
36,frozenset({'RefBks'}),frozenset({'DoItYBks'}),0.2145,0.282,0.1055,0.49184149184149184,1.7441187653953614,0.045011,1.4129449541284402
37,frozenset({'DoItYBks'}),frozenset({'RefBks'}),0.282,0.2145,0.1055,0.374113475177305,1.7441187653953611,0.045011,1.2550198300283286
38,frozenset({'DoItYBks'}),frozenset({'ArtBks'}),0.282,0.241,0.1235,0.43794326241134757,1.8171919602130604,0.055538000000000004,1.350397476340694
39,frozenset({'ArtBks'}),frozenset({'DoItYBks'}),0.241,0.282,0.1235,0.512448132780083,1.8171919602130606,0.055538000000000004,1.472663829787234
40,frozenset({'DoItYBks'}),frozenset({'GeogBks'}),0.282,0.276,0.1325,0.4698581560283689,1.7023846232911914,0.05466800000000001,1.3656722408026758
41,frozenset({'GeogBks'}),frozenset({'DoItYBks'}),0.276,0.282,0.1325,0.4800724637681159,1.7023846232911912,0.05466800000000001,1.3809616724738676
42,frozenset({'ItalCook'}),frozenset({'DoItYBks'}),0.1135,0.282,0.0585,0.5154185022026432,1.827725185115756,0.026493000000000003,1.4816909090909092
43,frozenset({'DoItYBks'}),frozenset({'ItalCook'}),0.282,0.1135,0.0585,0.20744680851063832,1.827725185115756,0.026493000000000003,1.1185369127516778
44,frozenset({'RefBks'}),frozenset({'ArtBks'}),0.2145,0.241,0.0895,0.4172494172494172,1.731325382777665,0.0378055,1.302444
45,frozenset({'ArtBks'}),frozenset({'RefBks'}),0.241,0.2145,0.0895,0.37136929460580914,1.7313253827776651,0.0378055,1.2495412541254125
46,frozenset({'RefBks'}),frozenset({'GeogBks'}),0.2145,0.276,0.1105,0.5151515151515151,1.8664909969257792,0.051297999999999996,1.49325
47,frozenset({'GeogBks'}),frozenset({'RefBks'}),0.276,0.2145,0.1105,0.40036231884057966,1.8664909969257792,0.051297999999999996,1.3099577039274921
48,frozenset({'ArtBks'}),frozenset({'GeogBks'}),0.241,0.276,0.1275,0.529045643153527,1.9168320404113295,0.060984,1.5373039647577091
49,frozenset({'GeogBks'}),frozenset({'ArtBks'}),0.276,0.241,0.1275,0.4619565217391304,1.9168320404113295,0.060984,1.4106666666666665
50,frozenset({'ItalCook'}),frozenset({'ArtBks'}),0.1135,0.241,0.0565,0.4977973568281938,2.065549198457236,0.029146500000000002,1.511342105263158
51,frozenset({'ArtBks'}),frozenset({'ItalCook'}),0.241,0.1135,0.0565,0.2344398340248963,2.065549198457236,0.029146500000000002,1.1579756097560976
52,frozenset({'ItalCook'}),frozenset({'GeogBks'}),0.1135,0.276,0.064,0.5638766519823788,2.0430313477622417,0.032673999999999995,1.6600808080808078
53,frozenset({'GeogBks'}),frozenset({'ItalCook'}),0.276,0.1135,0.064,0.23188405797101447,2.043031347762242,0.032673999999999995,1.1541226415094339
54,"frozenset({'ChildBks', 'CookBks'})",frozenset({'YouthBks'}),0.256,0.2475,0.129,0.50390625,2.0359848484848486,0.06564,1.5168503937007873
55,"frozenset({'ChildBks', 'YouthBks'})",frozenset({'CookBks'}),0.165,0.431,0.129,0.7818181818181819,1.8139632988820924,0.057885000000000006,2.607916666666667
56,"frozenset({'CookBks', 'YouthBks'})",frozenset({'ChildBks'}),0.162,0.423,0.129,0.7962962962962963,1.8824971543647666,0.060474,2.8325454545454543
57,frozenset({'ChildBks'}),"frozenset({'CookBks', 'YouthBks'})",0.423,0.162,0.129,0.3049645390070922,1.8824971543647666,0.060474,1.2056938775510204
58,frozenset({'CookBks'}),"frozenset({'ChildBks', 'YouthBks'})",0.431,0.165,0.129,0.29930394431554525,1.8139632988820924,0.057885000000000006,1.1916721854304635
59,frozenset({'YouthBks'}),"frozenset({'ChildBks', 'CookBks'})",0.2475,0.256,0.129,0.5212121212121212,2.0359848484848486,0.06564,1.5539240506329115
60,"frozenset({'ChildBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.165,0.282,0.095,0.5757575757575757,2.041693531055233,0.048470000000000006,1.6924285714285712
61,"frozenset({'ChildBks', 'DoItYBks'})",frozenset({'YouthBks'}),0.184,0.2475,0.095,0.5163043478260869,2.0860781730346947,0.049460000000000004,1.5557303370786515
62,"frozenset({'YouthBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1155,0.423,0.095,0.8225108225108225,1.9444700295764126,0.0461435,3.25090243902439
63,frozenset({'ChildBks'}),"frozenset({'YouthBks', 'DoItYBks'})",0.423,0.1155,0.095,0.22458628841607567,1.9444700295764126,0.0461435,1.1406814024390244
64,frozenset({'YouthBks'}),"frozenset({'ChildBks', 'DoItYBks'})",0.2475,0.184,0.095,0.38383838383838387,2.086078173034695,0.049460000000000004,1.3243278688524591
65,frozenset({'DoItYBks'}),"frozenset({'ChildBks', 'YouthBks'})",0.282,0.165,0.095,0.3368794326241135,2.0416935310552335,0.048470000000000006,1.259197860962567
66,"frozenset({'ChildBks', 'YouthBks'})",frozenset({'RefBks'}),0.165,0.2145,0.083,0.503030303030303,2.3451296178568906,0.047607500000000004,1.580579268292683
67,"frozenset({'ChildBks', 'RefBks'})",frozenset({'YouthBks'}),0.1515,0.2475,0.083,0.5478547854785479,2.2135546888022137,0.04550375,1.6642883211678834
68,"frozenset({'RefBks', 'YouthBks'})",frozenset({'ChildBks'}),0.0965,0.423,0.083,0.8601036269430052,2.033341907666679,0.0421805,4.1244814814814825
69,frozenset({'ChildBks'}),"frozenset({'RefBks', 'YouthBks'})",0.423,0.0965,0.083,0.19621749408983452,2.0333419076666788,0.0421805,1.124060294117647
70,frozenset({'YouthBks'}),"frozenset({'ChildBks', 'RefBks'})",0.2475,0.1515,0.083,0.33535353535353535,2.2135546888022137,0.04550375,1.2766185410334345
71,frozenset({'RefBks'}),"frozenset({'ChildBks', 'YouthBks'})",0.2145,0.165,0.083,0.386946386946387,2.345129617856891,0.047607500000000004,1.3620342205323193
72,"frozenset({'ChildBks', 'YouthBks'})",frozenset({'ArtBks'}),0.165,0.241,0.0805,0.48787878787878786,2.0243933107003644,0.040735,1.4820710059171596
73,"frozenset({'ChildBks', 'ArtBks'})",frozenset({'YouthBks'}),0.1625,0.2475,0.0805,0.49538461538461537,2.0015540015540014,0.040281250000000005,1.4912347560975607
74,"frozenset({'YouthBks', 'ArtBks'})",frozenset({'ChildBks'}),0.101,0.423,0.0805,0.797029702970297,1.884230976289118,0.037777,2.842780487804877
75,frozenset({'ChildBks'}),"frozenset({'YouthBks', 'ArtBks'})",0.423,0.101,0.0805,0.19030732860520094,1.884230976289118,0.037777,1.1102978102189782
76,frozenset({'YouthBks'}),"frozenset({'ChildBks', 'ArtBks'})",0.2475,0.1625,0.0805,0.32525252525252524,2.0015540015540014,0.040281250000000005,1.2412050898203593
77,frozenset({'ArtBks'}),"frozenset({'ChildBks', 'YouthBks'})",0.241,0.165,0.0805,0.3340248962655602,2.024393310700365,0.040735,1.2538006230529595
78,"frozenset({'ChildBks', 'YouthBks'})",frozenset({'GeogBks'}),0.165,0.276,0.099,0.6,2.1739130434782608,0.05346,1.8099999999999998
79,"frozenset({'ChildBks', 'GeogBks'})",frozenset({'YouthBks'}),0.195,0.2475,0.099,0.5076923076923077,2.051282051282051,0.050737500000000005,1.5285156249999998
80,"frozenset({'YouthBks', 'GeogBks'})",frozenset({'ChildBks'}),0.1205,0.423,0.099,0.8215767634854773,1.9422618522115302,0.04802850000000001,3.233883720930234
81,frozenset({'ChildBks'}),"frozenset({'YouthBks', 'GeogBks'})",0.423,0.1205,0.099,0.23404255319148937,1.94226185221153,0.04802850000000001,1.148236111111111
82,frozenset({'YouthBks'}),"frozenset({'ChildBks', 'GeogBks'})",0.2475,0.195,0.099,0.4,2.0512820512820515,0.050737500000000005,1.3416666666666666
83,frozenset({'GeogBks'}),"frozenset({'ChildBks', 'YouthBks'})",0.276,0.165,0.099,0.358695652173913,2.1739130434782608,0.05346,1.3020338983050848
84,"frozenset({'ChildBks', 'CookBks'})",frozenset({'DoItYBks'}),0.256,0.282,0.146,0.5703125,2.0223847517730498,0.073808,1.6709818181818181
85,"frozenset({'ChildBks', 'DoItYBks'})",frozenset({'CookBks'}),0.184,0.431,0.146,0.7934782608695652,1.8410168465651164,0.06669599999999999,2.7551578947368416
86,"frozenset({'CookBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1875,0.423,0.146,0.7786666666666666,1.8408195429472025,0.0666875,2.606927710843373
87,frozenset({'ChildBks'}),"frozenset({'CookBks', 'DoItYBks'})",0.423,0.1875,0.146,0.34515366430260047,1.8408195429472025,0.0666875,1.2407490974729243
88,frozenset({'CookBks'}),"frozenset({'ChildBks', 'DoItYBks'})",0.431,0.184,0.146,0.3387470997679814,1.8410168465651162,0.06669599999999999,1.234021052631579
89,frozenset({'DoItYBks'}),"frozenset({'ChildBks', 'CookBks'})",0.282,0.256,0.146,0.5177304964539007,2.0223847517730493,0.073808,1.5427058823529411
90,"frozenset({'ChildBks', 'CookBks'})",frozenset({'RefBks'}),0.256,0.2145,0.1225,0.478515625,2.2308420745920747,0.067588,1.5062771535580524
91,"frozenset({'ChildBks', 'RefBks'})",frozenset({'CookBks'}),0.1515,0.431,0.1225,0.8085808580858086,1.8760576753731057,0.057203500000000004,2.9725344827586206
92,"frozenset({'RefBks', 'CookBks'})",frozenset({'ChildBks'}),0.1525,0.423,0.1225,0.8032786885245902,1.8990039917839012,0.0579925,2.9330833333333333
93,frozenset({'ChildBks'}),"frozenset({'RefBks', 'CookBks'})",0.423,0.1525,0.1225,0.28959810874704495,1.8990039917839012,0.0579925,1.1929866888519136
94,frozenset({'CookBks'}),"frozenset({'ChildBks', 'RefBks'})",0.431,0.1515,0.1225,0.2842227378190255,1.8760576753731057,0.057203500000000004,1.1854246353322528
95,frozenset({'RefBks'}),"frozenset({'ChildBks', 'CookBks'})",0.2145,0.256,0.1225,0.5710955710955711,2.2308420745920743,0.067588,1.7346521739130434
96,"frozenset({'ChildBks', 'CookBks'})",frozenset({'ArtBks'}),0.256,0.241,0.1265,0.494140625,2.050376037344398,0.064804,1.5004169884169885
97,"frozenset({'ChildBks', 'ArtBks'})",frozenset({'CookBks'}),0.1625,0.431,0.1265,0.7784615384615384,1.8061752632518293,0.0564625,2.568402777777777
98,"frozenset({'CookBks', 'ArtBks'})",frozenset({'ChildBks'}),0.167,0.423,0.1265,0.7574850299401197,1.7907447516314887,0.055859000000000006,2.3792345679012334
99,frozenset({'ChildBks'}),"frozenset({'CookBks', 'ArtBks'})",0.423,0.167,0.1265,0.2990543735224586,1.7907447516314887,0.055859000000000006,1.1883946037099495
100,frozenset({'CookBks'}),"frozenset({'ChildBks', 'ArtBks'})",0.431,0.1625,0.1265,0.29350348027842227,1.8061752632518293,0.0564625,1.1854269293924466
101,frozenset({'ArtBks'}),"frozenset({'ChildBks', 'CookBks'})",0.241,0.256,0.1265,0.524896265560166,2.050376037344398,0.064804,1.5659737991266376
102,"frozenset({'ChildBks', 'CookBks'})",frozenset({'GeogBks'}),0.256,0.276,0.1495,0.583984375,2.1158854166666665,0.07884399999999998,1.740319248826291
103,"frozenset({'ChildBks', 'GeogBks'})",frozenset({'CookBks'}),0.195,0.431,0.1495,0.7666666666666666,1.7788089713843773,0.06545499999999999,2.4385714285714277
104,"frozenset({'CookBks', 'GeogBks'})",frozenset({'ChildBks'}),0.1925,0.423,0.1495,0.7766233766233765,1.835989070031623,0.0680725,2.5830813953488363
105,frozenset({'ChildBks'}),"frozenset({'CookBks', 'GeogBks'})",0.423,0.1925,0.1495,0.3534278959810875,1.8359890700316233,0.0680725,1.2488939670932357
106,frozenset({'CookBks'}),"frozenset({'ChildBks', 'GeogBks'})",0.431,0.195,0.1495,0.3468677494199536,1.7788089713843773,0.06545499999999999,1.2325222024866784
107,frozenset({'GeogBks'}),"frozenset({'ChildBks', 'CookBks'})",0.276,0.256,0.1495,0.5416666666666666,2.1158854166666665,0.07884399999999998,1.6232727272727272
108,"frozenset({'ChildBks', 'CookBks'})",frozenset({'ItalCook'}),0.256,0.1135,0.085,0.33203125,2.925385462555066,0.05594400000000001,1.327157894736842
109,"frozenset({'ChildBks', 'ItalCook'})",frozenset({'CookBks'}),0.085,0.431,0.085,1.0,2.320185614849188,0.048365000000000005,inf
110,"frozenset({'CookBks', 'ItalCook'})",frozenset({'ChildBks'}),0.1135,0.423,0.085,0.748898678414097,1.7704460482602766,0.03698950000000001,2.2978771929824564
111,frozenset({'ChildBks'}),"frozenset({'CookBks', 'ItalCook'})",0.423,0.1135,0.085,0.20094562647754138,1.7704460482602764,0.03698950000000001,1.1094363905325442
112,frozenset({'CookBks'}),"frozenset({'ChildBks', 'ItalCook'})",0.431,0.085,0.085,0.19721577726218098,2.320185614849188,0.048365000000000005,1.1397832369942198
113,frozenset({'ItalCook'}),"frozenset({'ChildBks', 'CookBks'})",0.1135,0.256,0.085,0.748898678414097,2.925385462555066,0.05594400000000001,2.962947368421053
114,"frozenset({'ChildBks', 'DoItYBks'})",frozenset({'RefBks'}),0.184,0.2145,0.09,0.4891304347826087,2.280328367284889,0.050532,1.5375744680851062
115,"frozenset({'ChildBks', 'RefBks'})",frozenset({'DoItYBks'}),0.1515,0.282,0.09,0.594059405940594,2.106593638087213,0.047277,1.768731707317073
116,"frozenset({'RefBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1055,0.423,0.09,0.8530805687203792,2.0167389331451044,0.0453735,3.927322580645162
117,frozenset({'ChildBks'}),"frozenset({'RefBks', 'DoItYBks'})",0.423,0.1055,0.09,0.2127659574468085,2.0167389331451044,0.0453735,1.1362567567567567
118,frozenset({'DoItYBks'}),"frozenset({'ChildBks', 'RefBks'})",0.282,0.1515,0.09,0.3191489361702128,2.106593638087213,0.047277,1.246234375
119,frozenset({'RefBks'}),"frozenset({'ChildBks', 'DoItYBks'})",0.2145,0.184,0.09,0.4195804195804196,2.280328367284889,0.050532,1.4058795180722892
120,"frozenset({'ChildBks', 'DoItYBks'})",frozenset({'ArtBks'}),0.184,0.241,0.095,0.5163043478260869,2.142341692224427,0.05065600000000001,1.5691685393258425
121,"frozenset({'ChildBks', 'ArtBks'})",frozenset({'DoItYBks'}),0.1625,0.282,0.095,0.5846153846153846,2.0731042007637757,0.049175,1.7285185185185186
122,"frozenset({'DoItYBks', 'ArtBks'})",frozenset({'ChildBks'}),0.1235,0.423,0.095,0.7692307692307693,1.8185124568103292,0.042759500000000006,2.5003333333333337
123,frozenset({'ChildBks'}),"frozenset({'DoItYBks', 'ArtBks'})",0.423,0.1235,0.095,0.22458628841607567,1.8185124568103292,0.042759500000000006,1.1303643292682928
124,frozenset({'DoItYBks'}),"frozenset({'ChildBks', 'ArtBks'})",0.282,0.1625,0.095,0.3368794326241135,2.073104200763775,0.049175,1.2629679144385029
125,frozenset({'ArtBks'}),"frozenset({'ChildBks', 'DoItYBks'})",0.241,0.184,0.095,0.39419087136929465,2.1423416922244276,0.05065600000000001,1.3469589041095893
126,"frozenset({'ChildBks', 'DoItYBks'})",frozenset({'GeogBks'}),0.184,0.276,0.1045,0.5679347826086957,2.0577347195967235,0.05371599999999999,1.675672955974843
127,"frozenset({'ChildBks', 'GeogBks'})",frozenset({'DoItYBks'}),0.195,0.282,0.1045,0.5358974358974359,1.900345517366794,0.04951,1.5470718232044198
128,"frozenset({'DoItYBks', 'GeogBks'})",frozenset({'ChildBks'}),0.1325,0.423,0.1045,0.7886792452830188,1.8644899415674203,0.048452499999999996,2.7304464285714274
129,frozenset({'ChildBks'}),"frozenset({'DoItYBks', 'GeogBks'})",0.423,0.1325,0.1045,0.2470449172576832,1.8644899415674203,0.048452499999999996,1.1521271585557298
130,frozenset({'DoItYBks'}),"frozenset({'ChildBks', 'GeogBks'})",0.282,0.195,0.1045,0.37056737588652483,1.900345517366794,0.04951,1.2789295774647889
131,frozenset({'GeogBks'}),"frozenset({'ChildBks', 'DoItYBks'})",0.276,0.184,0.1045,0.37862318840579706,2.057734719596723,0.05371599999999999,1.3132128279883384
132,"frozenset({'ChildBks', 'RefBks'})",frozenset({'ArtBks'}),0.1515,0.241,0.076,0.5016501650165016,2.081535954425318,0.0394885,1.5230264900662251
133,"frozenset({'ChildBks', 'ArtBks'})",frozenset({'RefBks'}),0.1625,0.2145,0.076,0.4676923076923077,2.1803837188452575,0.04114375,1.4756502890173409
134,"frozenset({'RefBks', 'ArtBks'})",frozenset({'ChildBks'}),0.0895,0.423,0.076,0.8491620111731844,2.007475203719112,0.0381415,3.8252962962962958
135,frozenset({'ChildBks'}),"frozenset({'RefBks', 'ArtBks'})",0.423,0.0895,0.076,0.17966903073286053,2.007475203719112,0.0381415,1.1099178674351584
136,frozenset({'RefBks'}),"frozenset({'ChildBks', 'ArtBks'})",0.2145,0.1625,0.076,0.3543123543123543,2.180383718845257,0.04114375,1.2970667870036101
137,frozenset({'ArtBks'}),"frozenset({'ChildBks', 'RefBks'})",0.241,0.1515,0.076,0.3153526970954357,2.081535954425318,0.0394885,1.2393242424242426
138,"frozenset({'ChildBks', 'RefBks'})",frozenset({'GeogBks'}),0.1515,0.276,0.094,0.6204620462046205,2.2480508920457263,0.052185999999999996,1.9075826086956524
139,"frozenset({'ChildBks', 'GeogBks'})",frozenset({'RefBks'}),0.195,0.2145,0.094,0.48205128205128206,2.247325324248401,0.0521725,1.5165594059405942
140,"frozenset({'RefBks', 'GeogBks'})",frozenset({'ChildBks'}),0.1105,0.423,0.094,0.8506787330316742,2.0110608345902463,0.0472585,3.8641515151515144
141,frozenset({'ChildBks'}),"frozenset({'RefBks', 'GeogBks'})",0.423,0.1105,0.094,0.22222222222222224,2.0110608345902463,0.0472585,1.143642857142857
142,frozenset({'RefBks'}),"frozenset({'ChildBks', 'GeogBks'})",0.2145,0.195,0.094,0.4382284382284382,2.247325324248401,0.0521725,1.432966804979253
143,frozenset({'GeogBks'}),"frozenset({'ChildBks', 'RefBks'})",0.276,0.1515,0.094,0.3405797101449275,2.2480508920457263,0.052185999999999996,1.2867362637362636
144,"frozenset({'ChildBks', 'ArtBks'})",frozenset({'GeogBks'}),0.1625,0.276,0.102,0.6276923076923077,2.274247491638796,0.057149999999999986,1.9446280991735534
145,"frozenset({'ChildBks', 'GeogBks'})",frozenset({'ArtBks'}),0.195,0.241,0.102,0.523076923076923,2.1704436642195977,0.05500499999999999,1.5914516129032255
146,"frozenset({'ArtBks', 'GeogBks'})",frozenset({'ChildBks'}),0.1275,0.423,0.102,0.7999999999999999,1.8912529550827422,0.04806749999999999,2.884999999999999
147,frozenset({'ChildBks'}),"frozenset({'ArtBks', 'GeogBks'})",0.423,0.1275,0.102,0.24113475177304963,1.8912529550827422,0.04806749999999999,1.1497429906542056
148,frozenset({'ArtBks'}),"frozenset({'ChildBks', 'GeogBks'})",0.241,0.195,0.102,0.42323651452282157,2.1704436642195977,0.05500499999999999,1.3957194244604316
149,frozenset({'GeogBks'}),"frozenset({'ChildBks', 'ArtBks'})",0.276,0.1625,0.102,0.36956521739130427,2.2742474916387954,0.057149999999999986,1.3284482758620688
150,"frozenset({'ChildBks', 'ItalCook'})",frozenset({'GeogBks'}),0.085,0.276,0.0525,0.6176470588235293,2.2378516624040916,0.029039999999999993,1.893538461538461
151,"frozenset({'ChildBks', 'GeogBks'})",frozenset({'ItalCook'}),0.195,0.1135,0.0525,0.2692307692307692,2.3720772619451034,0.030367499999999995,1.2131052631578945
152,"frozenset({'ItalCook', 'GeogBks'})",frozenset({'ChildBks'}),0.064,0.423,0.0525,0.8203125,1.93927304964539,0.025428,3.2111304347826084
153,frozenset({'ChildBks'}),"frozenset({'ItalCook', 'GeogBks'})",0.423,0.064,0.0525,0.12411347517730496,1.93927304964539,0.025428,1.0686315789473684
154,frozenset({'ItalCook'}),"frozenset({'ChildBks', 'GeogBks'})",0.1135,0.195,0.0525,0.46255506607929514,2.3720772619451034,0.030367499999999995,1.497827868852459
155,frozenset({'GeogBks'}),"frozenset({'ChildBks', 'ItalCook'})",0.276,0.085,0.0525,0.1902173913043478,2.2378516624040916,0.029039999999999993,1.1299328859060402
156,"frozenset({'CookBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.162,0.282,0.095,0.5864197530864197,2.079502670519219,0.049316000000000006,1.736059701492537
157,"frozenset({'CookBks', 'DoItYBks'})",frozenset({'YouthBks'}),0.1875,0.2475,0.095,0.5066666666666667,2.047138047138047,0.048593750000000005,1.525337837837838
158,"frozenset({'YouthBks', 'DoItYBks'})",frozenset({'CookBks'}),0.1155,0.431,0.095,0.8225108225108225,1.908377778447384,0.0452195,3.2058292682926828
159,frozenset({'CookBks'}),"frozenset({'YouthBks', 'DoItYBks'})",0.431,0.1155,0.095,0.22041763341067286,1.9083777784473839,0.0452195,1.1345818452380951
160,frozenset({'YouthBks'}),"frozenset({'CookBks', 'DoItYBks'})",0.2475,0.1875,0.095,0.38383838383838387,2.047138047138047,0.048593750000000005,1.3186475409836067
161,frozenset({'DoItYBks'}),"frozenset({'CookBks', 'YouthBks'})",0.282,0.162,0.095,0.3368794326241135,2.079502670519219,0.049316000000000006,1.26372192513369
162,"frozenset({'RefBks', 'CookBks'})",frozenset({'YouthBks'}),0.1525,0.2475,0.0775,0.5081967213114754,2.0533200861069716,0.03975625,1.5300833333333332
163,"frozenset({'RefBks', 'YouthBks'})",frozenset({'CookBks'}),0.0965,0.431,0.0775,0.8031088082901554,1.8633615041534928,0.035908499999999996,2.8899210526315784
164,"frozenset({'CookBks', 'YouthBks'})",frozenset({'RefBks'}),0.162,0.2145,0.0775,0.478395061728395,2.2302800080577856,0.042751,1.50592899408284
165,frozenset({'RefBks'}),"frozenset({'CookBks', 'YouthBks'})",0.2145,0.162,0.0775,0.3613053613053613,2.2302800080577856,0.042751,1.3120510948905109
166,frozenset({'CookBks'}),"frozenset({'RefBks', 'YouthBks'})",0.431,0.0965,0.0775,0.17981438515081208,1.863361504153493,0.035908499999999996,1.1015799151343706
167,frozenset({'YouthBks'}),"frozenset({'RefBks', 'CookBks'})",0.2475,0.1525,0.0775,0.31313131313131315,2.0533200861069716,0.03975625,1.233860294117647
168,"frozenset({'CookBks', 'YouthBks'})",frozenset({'ArtBks'}),0.162,0.241,0.081,0.5,2.074688796680498,0.041958,1.518
